seqno,區域,hosp_name,地址,緯度,經度,type,time,vaccine
98,永和區,美加婦產科診所,新北市永和區福和路278號2－5樓,25.0075873,121.5178642,合約診所,週一至週日24小時,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白
99,永和區,鍾婦產科診所,新北市永和區福和路84號1－2樓，86號1－3樓,25.008152,121.5227712,合約診所,週一至週六早上9:00-12:00、下午15:00-17:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白
100,永和區,旭恩小兒科診所,新北市永和區中山路1段172號1樓,25.0057564,121.5061052,合約診所,週一至週六上午8:30-12:00、下午3:00-6:00、晚上6:30-9:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
101,金山區,台大金山分院,新北市金山區五湖里玉湖路7號,25.2120835,121.6197527,合約診所,週三下午1:30-5:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
102,蘆洲區,許修平小兒科診所,新北市蘆洲區長安街290號,25.0880436,121.4573748,合約診所,週一至週日上午8:30-12:00、下午15:00-18:00、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
103,蘆洲區,愛麗生婦產科診所,新北市蘆洲區長榮路323號,25.0868414,121.4596755,合約診所,"週一、週二09:00-12:00
週四14:30-17:50
週五18:30-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
104,蘆洲區,愛林鑫北診所,新北市蘆洲區長榮路96.98號,25.0863428,121.4601916,合約診所,"週一至週五08:00-12:00、15:00-18:00、18:30-21:30
週六、日8:00-12:00、15:00-18:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
105,蘆洲區,湯瑪士親子兒科診所,新北市蘆洲區民族路377號,25.090453,121.4699503,合約診所,"週一至週五08:30-12:00、15:00-18:00、18:30-21:30
週六、日08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
106,蘆洲區,兒樂吉診所,新北市蘆洲區民族路267號,25.0906798,121.4761407,合約診所,週一至週日08:00-12:00、15:00-18:00、18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
107,蘆洲區,宥生婦產科診所,新北市蘆洲區三民路13-15號,25.0822458,121.47562,合約診所,週一~週六09:00-12:00、14:30-18:00、19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
108,蘆洲區,宥宥小兒科診所,新北市蘆洲區長榮路175號,25.0843268,121.4612621,合約診所,週一至週六08:30-11:30、15:00-17:30、18:30-21:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
109,蘆洲區,蘆洲李耳鼻喉科診所,新北市蘆洲區中華街63號1樓,25.0808251,121.4624123,合約診所,週一至週日早上8:00至晚上10:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
110,蘆洲區,杏東診所,新北市蘆洲區中正路9號,25.0818755,121.4717113,合約診所,週一至週六08:30-12:00、15:00-18:00、19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
111,蘆洲區,本一診所,新北市蘆洲區長榮路43-1號1樓,25.0828287,121.4628265,合約診所,"週一至週四08:30-12:00、15:00-17:30、18:30-21:00
週六、日09:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
112,蘆洲區,宥宥婦幼診所,新北市蘆洲區長榮路58號,25.0833616,121.4628156,合約診所,"週一至週五上午8:00-12:00、下午14:30-20:30
週六上午8:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
113,蘆洲區,長榮耳鼻喉科診所,新北市蘆洲區長榮路15號1樓,25.0822619,121.463395,合約診所,"週一至週六08:30-12:00、15:00-18:00、19:00-22:00
週日08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
114,蘆洲區,俊亨婦產科,新北市蘆洲區中山2路135號,25.0815228,121.4720432,合約診所,週一至週六上午9:00-12:00、下午14:30-18:00、晚間19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
115,蘆洲區,愛樂親子診所,新北市蘆洲區長樂路168號,25.0909432,121.4625881,合約診所,"週一、二、四、五上午8:00-12:00、下午15:00-18:00、晚間18:30-21:00
週三上午8:00-12:00
週六、日上午9:00-12:00、15:00-18:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
116,新莊區,新莊惠欣婦產科小兒科診所,新北市新莊區建中街72之1號,25.0369973,121.4474682,合約診所,星期一至星期六9:00-12:00、14:30-18:00、18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
117,新莊區,王榮文小兒科診所,新北市新莊區中和街149號,25.0493893,121.4472572,合約診所,星期一至星期六08:30-12:00、15:00-18:00、19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
118,新莊區,衛生福利部臺北醫院,新北市新莊區思源路127號,25.0430059,121.4590085,合約診所,"星期一至星期五9:00-12:00、13:30-16:30
＊卡介苗為每個月1次.",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白
119,新莊區,祐幼小兒科診所,新北市新莊區民安西路21號,25.0213789,121.4271399,合約診所,"星期一至六8:00-12:00、14:30-18:00、19:00-22:00
星期日08:00-12:00
(星期日下午休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
120,新莊區,曜生婦產科診所,新北市新莊區中正路243號,25.0041085,121.4221769,合約診所,"星期一至星期五09:00-12:00、14:30-20:20
星期六09:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白
121,新莊區,陳世昌婦產科診所,新北市新莊區後港一路100號,25.0267511,121.4278561,合約診所,"星期一至星期六08:30-12:00、15:00-18:00、19:00-20:00
(星期六晚上休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
122,新莊區,志銘小兒科診所,新北市新莊區民安路168號,25.0242478,121.4247487,合約診所,"星期一至星期六8:00-12:00、14:30-18:00、19:00-22:00
星期日8:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
123,新莊區,宏祐診所,新北市新莊區中正路879-3號,25.026319,121.418059,合約診所,星期一至星期六8:30-12:00、15:00-18:00、18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
124,新莊區,幸福小兒科診所,新北市新莊區幸福路729號,25.0490369,121.449262,合約診所,星期一至星期六9:00-12:00、15:00-18:00、19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
125,新莊區,春詠診所,新北市新莊區龍安路278巷2號,25.0190394,121.4219885,合約診所,星期一至星期日8:00-12:00、15:00-18:00、18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
